timestamp,signal,price,capital,position,pnl,cumulative_pnl
2019-01-02 00:26:00,buy_long_position,1.14568,0.7582399999955669,87282.0,-2.0,-2.0
2019-01-02 00:27:00,sell_long_position,1.14578,100004.7282,0.0,6.7281999999977415,4.7281999999977415
2019-01-02 00:28:00,buy_long_position,1.14575,0.522449999989476,87281.0,-2.0,2.7281999999977415
2019-01-02 00:30:00,sell_long_position,1.14604,100026.03968999999,0.0,23.311489999992773,26.039689999990514
2019-01-02 00:31:00,buy_long_position,1.14589,0.4474799999879906,87289.0,-2.0,24.039689999990514
2019-01-02 00:37:00,sell_long_position,1.14669,100091.87088999999,0.0,67.83120000000054,91.87088999999105
2019-01-02 00:38:00,buy_long_position,1.1466,0.8636899999837624,87292.0,-2.0,89.87088999999105
2019-01-02 00:39:00,sell_long_position,1.14674,100100.09177,0.0,10.220880000008037,100.09176999999909
2019-01-02 00:40:00,buy_long_position,1.14668,0.9545300000027055,87293.0,-2.0,98.09176999999909
2019-01-02 00:41:00,hold,1.14689,0.9545300000027055,87293.0,0.0,98.09176999999909
2019-01-02 00:42:00,hold,1.14689,0.9545300000027055,87293.0,0.0,98.09176999999909
2019-01-02 00:44:00,hold,1.14694,0.9545300000027055,87293.0,0.0,98.09176999999909
2019-01-02 00:45:00,sell_long_position,1.14694,100118.78795000001,0.0,20.696180000013555,118.78795000001264
2019-01-02 00:46:00,buy_long_position,1.14689,0.17229000001680106,87294.0,-2.0,116.78795000001264
2019-01-02 00:47:00,sell_long_position,1.14694,100119.15265000002,0.0,2.3647000000055414,119.15265000001818
2019-01-02 00:48:00,buy_long_position,1.14687,1.136000000013155,87295.0,-2.0,117.15265000001818
2019-01-02 00:50:00,hold,1.14694,1.136000000013155,87295.0,0.0,117.15265000001818
2019-01-02 00:52:00,sell_long_position,1.14704,100129.99280000002,0.0,12.840150000003632,129.99280000002182
2019-01-02 00:53:00,buy_long_position,1.14701,0.9018600000126753,87294.0,-2.0,127.99280000002182
2019-01-02 00:54:00,sell_long_position,1.14709,100132.97632,0.0,4.983519999979762,132.97632000000158
2019-01-02 00:55:00,short_position_sell,1.147,100245.67632,0.0,-2.0,130.97632000000158
2019-01-02 00:58:00,buy_back,1.14783,100128.89332,0.0,-2.082999999999984,128.8933200000016
2019-01-02 00:59:00,buy_long_position,1.14781,1.1313999999983935,87232.0,-2.0,126.89332000000161
